Name,address,group,latitude,longitude
New Hope Church Of God,6025 S Waverly Rd Lansing MI,Church of God,42.670643,-84.601912
New Jerusalem Church,3000 W Miller Rd Lansing MI,Non-Denominational,42.669772,-84.590659
New Saint Paul Church Of God,1717 E Cavanaugh Rd Lansing MI,Church of God,42.690753,-84.527528
Olivet Baptist Church,5455 W Willoughby Rd Lansing MI,American Baptist,42.654379,-84.56134
Original Church Of God,1916 Olds Ave Lansing MI,Church of God,42.72358,-84.577779
Our Savior Lutheran Church,7910 E St Joe Hwy Lansing MI,Lutheran Church of Missouri Synod,42.725159,-84.684251
Parker Memorial Baptist Church,1902 E Cavanaugh Rd Lansing MI,Baptist Bible Fellowship International,42.689293,-84.525056
Pennsylvania Avenue Church Of God,3500 S Pennsylvania Ave Lansing MI,Church of God,42.696295,-84.538673
Pennway Church of God,1101 E Cavanaugh Rd Lansing MI,Church of God,42.690782,-84.536181
Pilgrim Congregational Church,125 S Pennsylvania Ave Lansing MI,Congregational,42.732599,-84.537113
Pilgrim Rest Baptist Church,5200 Pleasant Grove Rd Lansing MI,Baptist,42.680882,-84.583647
Plymouth Congregational Church,2001 E Grand River Ave Lansing MI,National Association of Congregational,42.744007,-84.522099
Reachout Christian Center,5628 Wise Rd Lansing MI,Non-Denominational,42.674257,-84.596129
Redeemer Lutheran Church,2727 W Holmes Rd Lansing MI,Evangelical Lutheran in America,42.697144,-84.588464
Retrouvaille of Lansing,4007 Wildwood Ave Lansing MI,Roman Catholic,42.692191,-84.544944
Robinson Memorial Church Of God,509 Charles St Lansing MI,Church of God,42.728327,-84.513445
Saint Joseph Melkite Greek Church,725 W Mount Hope Ave Lansing MI,Orthodox,42.711724,-84.562821
Shepherd Of The Hills Lutheran Church,7740 W St Joe Hwy Lansing MI,Wisconsin Evangelical Lutheran Synod,42.727375,-84.66498
Shiloah Baptist Church,5225 S Waverly Rd Lansing MI,Baptist,42.681325,-84.60178
South Church,5250 Cornerstone Dr Lansing MI,Non-Denominational,42.718204,-84.625015
South Lansing Christian Church,6300 Aurelius Rd Lansing MI,Church of Christ,42.66625,-84.52367
St David's Church,1519 Elmwood Rd Lansing MI,Episcopal,42.751482,-84.62379
St Gerard Parish,4437 W Willow Hwy Lansing MI,Roman Catholic,42.747792,-84.612472
St Mary Cathedral,219 Seymour Ave Lansing MI,Roman Catholic,42.735472,-84.556212
St Michael's Episcopal Church,6500 Amwood Dr Lansing MI,Episcopal,42.662109,-84.54214
St Paul's Episcopal Church,218 W Ottawa St Lansing MI,Episcopal,42.73476,-84.55465
St Therese of Lisieux Parish,102 W Randolph St Lansing MI,Roman Catholic,42.76012,-84.55281
The Light House Chapel,1501 Windsor St Lansing MI,Non-Denominational,42.763753,-84.571974
The Salvation Army Lansing Citadel,525 N Pennsylvania Ave Lansing MI,Salvation Army,42.738466,-84.53842
Tithe Missionary Baptist Church,1415 W Holmes Rd Lansing MI,Southern Baptist Convention,42.696402,-84.571961
Trinity Ame Church,3500 W Holmes Rd Lansing MI,African Methodist Episcopal,42.698557,-84.598199
Trinity Lutheran Church,501 W Saginaw St Lansing MI,Lutheran Church of Missouri Synod,42.740496,-84.55891
Trinity United Methodist Chr,7533 W St Joe Hwy Lansing MI,United Methodist,42.725963,-84.660774
True Light Missionary Church,1147 W Maple St Lansing MI,Missionary,42.74552,-84.569495
Union Missionary Baptist Church,500 S Mlk Blvd Lansing MI,Baptist,42.727571,-84.568327
Valley Farms Baptist Church,1141 E State Rd Lansing MI,American Baptist,42.784422,-84.540568
Walker Memorial Bible Church,400 E Frederick Ave Lansing MI,Bible,42.767569,-84.547934
West Lansing Church of Christ,5505 W St Joe Hwy Lansing MI,Restorationist,42.726104,-84.627541
West Lansing Church Of God,819 West St Lansing MI,Church of God,42.725,-84.57458
Westminster Presbyterian Church,743 N Mlk Blvd Lansing MI,Presbyterian,42.742384,-84.56784
Willow Community Church,3200 W Willow St Lansing MI,Wesleyan,42.748877,-84.59294
COGL Network,814 N. Washington Ave. Lansing MI,Other Christian,42.742652,-84.551679
Delta Community Christian Church,6016 Bradford Lane Lansing MI,Church of Christ,42.754284,-84.635539
Friendship House Prayer,4301 S. Waverly Road Lansing MI,Baptist,42.69009,-84.6021
Grace International Outreach Church,1901 Massachusetts Ave Lansing MI,Pentecostal Assemblies of the World,42.754382,-84.536078
Grace Orthodox Presbyterian Church,1301 W. Wieland Rd. Lansing MI,Presbyterian,42.780111,-84.548103
Hope Christian Ministries International,5710 Ivan Drive Suite 103 Lansing MI,Other Christian,42.737604,-84.631609
Joshua Generation Cornerstone Church,2000 Forest Ave. Lansing MI,Non-Denominational,42.710867,-84.552458
Live Again Outreach,3107 S. Martin Luther King Jr. Lansing MI,Other Christian,42.70145,-84.56726
One Love Ministries-GP,3645 E. Jolly Rd. Lansing MI,Non-Denominational,42.683373,-84.499058
Shiloah Missionary Baptist Church,5225 South Waverly Road Lansing MI,Baptist (Missionary),42.681325,-84.60178
All Michigan Catholic Cnfrnc,4305 W Willow Hwy Lansing MI,Roman Catholic,42.748012,-84.609317
Christian Church Disciples of Christ Michigan Region,2820 Covington Ct Lansing MI,Disciples of Christ,42.744112,-84.51181
Cornerstone Community Church,4901 W Michigan Ave Lansing MI,Southern Baptist Convention,42.733011,-84.619577
Faith Wesleyan Church,2300 Lake Lansing Rd Lansing MI,Wesleyan,42.759542,-84.518822
First United Methodist Church,3827 Delta River Dr Lansing MI,United Methodist,42.761724,-84.602119
Greater Works International Church Of God In Christ,3310 Bardaville Dr Ste 2C Lansing MI,Church of God in Christ,42.767032,-84.598357
Lansing SDA Church,5400 W St Joe Hwy Lansing MI,Seventh Day Adventist,42.727387,-84.626181
Lansing Woodview,1500 E State Rd Lansing MI,Nazarene,42.783037,-84.531964
Light Of The World Church,3955 Patient Care Way Lansing MI,Non-Denominational,42.676983,-84.501757
Miracles Happen,3721 W Michigan Ave Ste 301A Lansing MI,Roman Catholic,42.733489,-84.601446
Pentecostal Outreach Church,2645 W Holmes Rd Lansing MI,Pentecostal,42.695493,-84.587917
Solid Rock Full Gospel Baptist Church,2410 S Pennsylvania Ave Lansing MI,Baptist,42.706378,-84.538766
South Church Of The Nazarene,401 W Holmes Rd Lansing MI,Church of the Nazarene,42.696584,-84.556923
St Casimir Catholic Parish,815 Sparrow Ave Lansing MI,Roman Catholic,42.71594,-84.56335
St Joseph Melkite,1428 Ponce De Leon Ave Ne Atlanta MI,Roman Catholic,33.775513,-84.340141
St Stephen Lutheran Church,2900 N Waverly Rd Lansing MI,Evangelical Lutheran in America,42.763571,-84.602144
TeacherGalbraith,3830 Rosemont St Lansing MI,Roman Catholic,42.693,-84.54696
Airport View Church of Christ,15530 S Dewitt Rd Lansing MI,Churches of Christ,42.790835,-84.570771
Berean Baptist Church,6121 S Waverly Rd Lansing MI,General Association of Regular Baptist,42.668616,-84.602049
